year,location,fatalities
1997,Belowground,114
1998,Belowground,97
1999,Belowground,84
2000,Belowground,75
2001,Belowground,102
2002,Belowground,61
2003,Belowground,72
2004,Belowground,57
2005,Belowground,70
2006,Belowground,102
2007,Belowground,25
2008,Belowground,39
2009,Belowground,46
2010,Belowground,60
2011,Belowground,24
2012,Belowground,28
2013,Belowground,24
2014,Belowground,21
2015,Belowground,21
2016,Belowground,29
2017,Belowground,21
2018,Belowground,19
2019,Belowground,21
2020,Belowground,16
2021,Belowground,21
2022,Belowground,12
1997,Opencast,29
1998,Opencast,24
1999,Opencast,31
2000,Opencast,51
2001,Opencast,26
2002,Opencast,22
2003,Opencast,24
2004,Opencast,33
2005,Opencast,29
2006,Opencast,25
2007,Opencast,37
2008,Opencast,35
2009,Opencast,32
2010,Opencast,42
2011,Opencast,30
2012,Opencast,38
2013,Opencast,40
2014,Opencast,33
2015,Opencast,26
2016,Opencast,52
2017,Opencast,29
2018,Opencast,32
2019,Opencast,25
2020,Opencast,28
2021,Opencast,23
2022,Opencast,12
1997,Aboveground,22
1998,Aboveground,25
1999,Aboveground,23
2000,Aboveground,18
2001,Aboveground,13
2002,Aboveground,14
2003,Aboveground,17
2004,Aboveground,6
2005,Aboveground,18
2006,Aboveground,10
2007,Aboveground,16
2008,Aboveground,19
2009,Aboveground,15
2010,Aboveground,16
2011,Aboveground,13
2012,Aboveground,17
2013,Aboveground,18
2014,Aboveground,8
2015,Aboveground,8
2016,Aboveground,13
2017,Aboveground,11
2018,Aboveground,11
2019,Aboveground,10
2020,Aboveground,9
2021,Aboveground,7
2022,Aboveground,4
