year,company,total_accidents_fatal,total_accidents_serious,killed_total,seriously_injured_total
2016,BCCL,11,6,12,6
2016,CCL,6,7,6,7
2016,ECL,12,19,35,20
2016,MCL,2,4,2,4
2016,NCL,4,9,4,11
2016,SECL,10,23,11,24
2016,WCL,6,17,6,17
2017,BCCL,2,5,2,5
2017,CCL,7,3,8,3
2017,ECL,10,6,10,6
2017,MCL,5,2,5,2
2017,NCL,4,6,4,6
2017,SECL,8,11,10,11
2017,WCL,5,8,6,8
2018,BCCL,4,6,6,6
2018,CCL,5,5,8,13
2018,ECL,1,9,2,10
2018,MCL,8,2,8,4
2018,NCL,4,7,4,7
2018,SECL,13,12,16,14
2018,WCL,3,14,6,14
2019,BCCL,7,4,7,8
2019,CCL,2,1,2,1
2019,ECL,8,11,8,15
2019,MCL,7,2,10,2
2019,NCL,3,2,3,3
2019,SECL,7,14,8,14
2019,WCL,3,14,4,15
2020,BCCL,4,5,4,10
2020,CCL,2,1,2,1
2020,ECL,7,8,8,14
2020,MCL,5,2,5,2
2020,NCL,2,5,2,8
2020,SECL,12,7,12,7
2020,WCL,5,4,5,4
2021,BCCL,3,7,4,9
2021,CCL,2,2,2,2
2021,ECL,9,10,10,11
2021,MCL,2,3,2,3
2021,NCL,3,7,3,7
2021,SECL,7,19,7,19
2021,WCL,6,5,6,6
2022,BCCL,4,5,5,6
2022,CCL,3,3,3,3
2022,ECL,2,9,2,9
2022,MCL,0,4,0,4
2022,NCL,1,8,1,8
2022,SECL,8,27,8,28
2022,WCL,1,10,2,12
