year,inspections,enquiries,improvement_notices,prohibitory_orders,total_accidents,total_person_affected,no_of_fatal_accidents,no_of_persons_killed,no_of_serious_accidents,no_of_persons_seriously_injured,fatal_severity_ratio
2013,4038,890,106,38,533,550,77,82,456,457,14.4
2014,4664,1035,127,46,438,456,59,62,379,391,13.5
2015,6047,1280,103,42,356,371,54,55,302,307,15.2
2016,4634,1165,58,29,336,373,67,94,269,272,19.9
2017,4259,1169,79,48,322,333,56,61,266,272,17.4
2018,3253,937,42,32,314,341,49,62,265,268,15.6
2019,2753,856,33,15,244,260,51,56,193,198,20.9
2020,1073,635,37,37,165,191,48,53,117,120,29.1
2021,1696,636,71,14,229,244,43,51,186,191,18.8
2022,3685,677,105,43,205,218,24,28,181,187,11.7
