year,total_fatal_accidents,fatalities_belowground,fatalities_opencast,fatalities_aboveground,overall_fatalities,total_serious_accidents,persons_seriously_injured_belowground,persons_seriously_injured_opencast,persons_seriously_injured_aboveground,overall_seriously_injured
1997,143,114,29,22,165,677,477,85,163,725
1998,128,97,24,25,146,523,380,73,107,560
1999,127,84,31,23,138,595,446,85,119,650
2000,117,75,51,18,144,661,477,115,115,707
2001,105,102,26,13,141,667,504,77,139,720
2002,81,61,22,14,97,629,464,98,103,665
2003,83,72,24,17,113,563,398,90,102,590
2004,87,57,33,6,96,962,778,87,126,991
2005,96,70,29,18,117,1106,867,101,170,1138
2006,78,102,25,10,137,861,665,99,127,891
2007,76,25,37,16,78,923,735,88,128,951
2008,80,39,35,19,93,686,536,76,97,709
2009,83,46,32,15,93,636,506,54,100,660
2010,97,60,42,16,118,480,370,69,72,511
2011,65,24,30,13,67,533,397,78,81,556
2012,79,28,38,17,83,536,382,65,101,548
2013,77,24,40,18,82,456,341,59,68,468
2014,59,21,33,8,62,379,263,66,65,394
2015,54,21,26,8,55,302,190,73,53,316
2016,67,29,52,13,94,269,181,49,49,279
2017,56,21,29,11,61,266,195,32,45,272
2018,49,19,32,11,62,265,178,46,55,279
2019,51,21,25,10,56,193,129,34,41,204
2020,48,16,28,9,53,117,75,34,29,138
2021,43,21,23,7,51,186,111,34,48,193
2022,24,12,12,4,28,181,100,47,43,190
