year,company,group,total_accidents_fatal,total_accidents_serious,killed_belowground_male,killed_opencast_male,killed_opencast_female,killed_aboveground_male,killed_aboveground_female,killed_total,seriously_injured_belowground_male,seriously_injured_opencast_male,seriously_injured_opencast_female,seriously_injured_aboveground_male,seriously_injured_total
2016,BCCL,CIL,11,6,1,7,0,4,0,12,2,2,0,2,6
2016,CCL,CIL,6,7,0,5,0,1,0,6,3,1,0,3,7
2016,ECL,CIL,12,19,7,24,0,4,0,35,18,1,0,1,20
2016,MCL,CIL,2,4,1,1,0,0,0,2,2,2,0,0,4
2016,NCL,CIL,4,9,0,4,0,0,0,4,0,10,0,1,11
2016,SECL,CIL,10,23,7,4,0,0,0,11,15,5,0,4,24
2016,WCL,CIL,6,17,3,2,0,1,0,6,10,3,0,4,17
2016,TOTAL_CIL,TOTAL_CIL,51,85,19,47,0,10,0,76,50,24,0,15,89
2016,GMDC,NON-CIL,0,1,0,0,0,0,0,0,0,0,0,3,3
2016,IISCO,NON-CIL,1,1,0,1,0,0,0,1,1,0,0,0,1
2016,NLC,NON-CIL,2,1,0,2,0,0,0,2,0,1,0,0,1
2016,SCCL,NON-CIL,10,177,10,1,0,1,0,12,127,23,0,29,179
2016,TISCO,NON-CIL,2,1,0,0,0,2,0,2,1,0,0,2,3
2016,ELCALTD,NON-CIL,0,1,0,0,0,0,0,0,0,1,0,0,1
2016,SASAN,NON-CIL,1,0,0,1,0,0,0,1,0,0,0,0,0
2016,JPA,NON-CIL,0,2,0,0,0,0,0,0,2,0,0,0,2
2016,TOTAL_NON-CIL,TOTAL_NON-CIL,16,184,10,5,0,3,0,18,131,25,0,34,190
2016,TOTAL_ALL_INDIA,TOTAL_ALL_INDIA,67,269,29,52,0,13,0,94,181,49,0,49,279
2017,BCCL,CIL,2,5,1,0,0,1,0,2,4,0,0,1,5
2017,CCL,CIL,7,3,3,5,0,0,0,8,2,0,0,1,3
2017,ECL,CIL,10,6,5,3,0,2,0,10,5,1,0,0,6
2017,MCL,CIL,5,2,0,5,0,0,0,5,0,1,0,1,2
2017,NCL,CIL,4,6,0,4,0,0,0,4,0,6,0,0,6
2017,SECL,CIL,8,11,5,4,0,1,0,10,8,2,0,1,11
2017,WCL,CIL,5,8,3,1,0,2,0,6,3,2,0,3,8
2017,TOTAL_CIL,TOTAL_CIL,41,41,17,22,0,6,0,45,22,12,0,7,41
2017,NLC,NON-CIL,1,0,0,1,0,0,0,1,0,0,0,0,0
2017,SCCL,NON-CIL,12,219,4,5,0,4,0,13,168,19,0,38,225
2017,TISCO,NON-CIL,0,5,0,0,0,0,0,0,5,0,0,0,5
